,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1086642,85.0
1,Memento,2000,8.5,80,934309,85.0
2,Snatch,2000,8.3,55,657875,83.0
3,Requiem for a Dream,2000,8.3,68,633662,83.0
4,X-Men,2000,7.4,64,494999,74.0
5,Cast Away,2000,7.8,73,431922,78.0
6,American Psycho,2000,7.6,64,393035,76.0
7,Unbreakable,2000,7.2,62,282040,72.0
8,Meet the Parents,2000,7.0,73,276182,70.0
9,Mission: Impossible II,2000,6.1,59,261448,61.0
10,"O Brother, Where Art Thou?",2000,7.8,69,243242,78.0
11,Gone in Sixty Seconds,2000,6.5,35,231531,65.0
12,Wo hu cang long,2000,7.9,93,228624,79.0
13,The Patriot,2000,7.2,63,222320,72.0
14,Almost Famous,2000,7.9,90,220818,79.0
15,Pitch Black,2000,7.1,49,203847,71.0
16,Scary Movie,2000,6.2,48,200249,62.0
17,"Me, Myself & Irene",2000,6.6,49,197249,66.0
18,Final Destination,2000,6.7,36,195303,67.0
19,The Beach,2000,6.6,43,192304,66.0
20,Amores perros,2000,8.1,83,188664,81.0
21,Traffic,2000,7.6,86,177983,76.0
22,Remember the Titans,2000,7.8,48,172383,78.0
23,What Women Want,2000,6.4,47,169706,64.0
24,Chocolat,2000,7.3,64,159269,73.0
25,How the Grinch Stole Christmas,2000,6.1,46,156192,61.0
26,Charlie's Angels,2000,5.5,52,153435,55.0
27,Miss Congeniality,2000,6.2,43,151605,62.0
28,Chicken Run,2000,7.0,88,151192,70.0
29,High Fidelity,2000,7.5,79,150752,75.0
30,Batoru rowaiaru,2000,7.7,81,148462,77.0
31,Erin Brockovich,2000,7.3,73,146051,73.0
32,The Emperor's New Groove,2000,7.3,70,142729,73.0
33,Road Trip,2000,6.5,55,140858,65.0
34,The Perfect Storm,2000,6.4,59,139788,64.0
35,"Dude, Where's My Car?",2000,5.5,30,122251,55.0
36,Hollow Man,2000,5.7,24,108163,57.0
37,Scream 3,2000,5.5,56,105794,55.0
38,The 6th Day,2000,5.9,49,105098,59.0
39,Billy Elliot,2000,7.7,74,104870,77.0
40,Shanghai Noon,2000,6.6,77,104014,66.0
41,What Lies Beneath,2000,6.6,51,103851,66.0
42,Pay It Forward,2000,7.2,40,101926,72.0
43,The Whole Nine Yards,2000,6.7,47,95746,67.0
44,Coyote Ugly,2000,5.6,27,95568,56.0
45,Men of Honor,2000,7.2,56,95197,72.0
46,The Family Man,2000,6.7,42,90861,67.0
47,Frequency,2000,7.4,67,88172,74.0
48,Faa yeung nin wa,2000,8.1,85,87615,81.0
49,Bedazzled,2000,6.0,49,86383,60.0
50,Little Nicky,2000,5.3,38,85768,53.0
51,Dancer in the Dark,2000,8.0,61,85728,80.0
52,The Cell,2000,6.3,40,84545,63.0
53,Finding Forrester,2000,7.3,62,75839,73.0
54,Bring It On,2000,6.0,52,74896,60.0
55,Malèna,2000,7.5,54,72124,75.0
56,Big Momma's House,2000,5.1,33,71414,51.0
57,U-571,2000,6.6,62,68870,66.0
58,Battlefield Earth,2000,2.4,9,68338,24.0
59,The Road to El Dorado,2000,6.9,51,66233,69.0
60,Space Cowboys,2000,6.4,73,63926,64.0
61,Mission to Mars,2000,5.6,34,63716,56.0
62,Shaft,2000,5.9,50,61728,59.0
63,Romeo Must Die,2000,6.1,52,59994,61.0
64,Wonder Boys,2000,7.4,73,56658,74.0
65,The Gift,2000,6.7,62,55431,67.0
66,Titan A.E.,2000,6.6,48,54203,66.0
67,Vertical Limit,2000,5.9,48,52293,59.0
68,Les rivières pourpres,2000,6.9,49,51499,69.0
69,The Replacements,2000,6.5,30,51129,65.0
70,Proof of Life,2000,6.2,45,51069,62.0
71,Red Planet,2000,5.7,34,50057,57.0
72,Best in Show,2000,7.5,78,48489,75.0
73,The Legend of Bagger Vance,2000,6.7,47,48152,67.0
74,Thirteen Days,2000,7.3,67,47864,73.0
75,Quills,2000,7.3,70,46853,73.0
76,Sexy Beast,2000,7.3,79,46474,73.0
77,Keeping the Faith,2000,6.4,60,46310,64.0
78,Boiler Room,2000,7.0,63,43958,70.0
79,Dinosaur,2000,6.5,56,42396,65.0
80,Nutty Professor II: The Klumps,2000,4.3,38,41981,43.0
81,Nueve reinas,2000,7.9,80,41898,79.0
82,Rules of Engagement,2000,6.4,45,39550,64.0
83,28 Days,2000,6.0,46,37171,60.0
84,The Kid,2000,6.1,45,36211,61.0
85,Shadow of the Vampire,2000,6.9,71,35731,69.0
86,Ginger Snaps,2000,6.8,70,35624,68.0
87,Tigerland,2000,7.0,55,34725,70.0
88,Reindeer Games,2000,5.7,37,33192,57.0
89,Small Time Crooks,2000,6.7,69,32984,67.0
90,Chopper,2000,7.2,65,32970,72.0
91,Book of Shadows: Blair Witch 2,2000,4.0,15,31707,40.0
92,Nurse Betty,2000,6.2,69,30847,62.0
93,Next Friday,2000,6.1,41,30345,61.0
94,Get Carter,2000,5.1,24,28927,51.0
95,Dracula 2000,2000,4.9,26,28746,49.0
96,Dungeons & Dragons,2000,3.7,14,28742,37.0
97,102 Dalmatians,2000,4.9,35,28672,49.0
98,Where the Heart Is,2000,6.8,30,28594,68.0
99,The Way of the Gun,2000,6.7,49,28518,67.0
100,The Skulls,2000,5.6,24,28178,56.0
101,The Art of War,2000,5.7,30,26252,57.0
102,Vampire Hunter D: Bloodlust,2000,7.7,62,24708,77.0
103,You Can Count on Me,2000,7.7,85,24447,77.0
104,Pollock,2000,7.0,77,24278,70.0
105,Loser,2000,5.3,35,24051,53.0
106,The Watcher,2000,5.3,22,23180,53.0
107,Before Night Falls,2000,7.3,85,21796,73.0
108,Autumn in New York,2000,5.5,24,21601,55.0
109,The Contender,2000,7.0,59,21224,70.0
110,Gongdong gyeongbi guyeok JSA,2000,7.9,58,20902,79.0
111,Brother,2000,7.2,47,19656,72.0
112,Under Suspicion,2000,6.5,43,19334,65.0
113,The Million Dollar Hotel,2000,5.9,25,19160,59.0
114,State and Main,2000,6.8,75,18900,68.0
115,Tillsammans,2000,7.5,84,18488,75.0
116,Bounce,2000,5.7,52,18371,57.0
117,Im Juli,2000,7.8,71,17914,78.0
118,The Adventures of Rocky & Bullwinkle,2000,4.2,36,17456,42.0
119,My Dog Skip,2000,7.0,61,17453,70.0
120,Highlander: Endgame,2000,4.6,21,17267,46.0
121,The Yards,2000,6.4,58,17251,64.0
122,Return to Me,2000,6.9,54,17247,69.0
123,The Flintstones in Viva Rock Vegas,2000,3.6,27,16930,36.0
124,Center Stage,2000,6.7,52,16616,67.0
125,Dr. T & the Women,2000,4.6,64,16200,46.0
126,Blinkende lygter,2000,7.7,47,16094,77.0
127,Saving Grace,2000,6.9,62,16043,69.0
128,Love & Basketball,2000,7.2,70,15508,72.0
129,Supernova,2000,4.8,19,15377,48.0
130,Fuck Me,2000,4.5,35,15279,45.0
131,Yi yi,2000,8.1,93,14727,81.0
132,Boys and Girls,2000,5.4,29,14446,54.0
133,The Tigger Movie,2000,6.3,53,14316,63.0
134,Sånger från andra våningen,2000,7.7,76,14101,77.0
135,Urban Legends: Final Cut,2000,4.2,16,13804,42.0
136,The Dish,2000,7.2,74,13465,72.0
137,Der Krieger und die Kaiserin,2000,7.6,64,13378,76.0
138,The Man Who Cried,2000,6.2,40,13085,62.0
139,Gossip,2000,5.9,31,13035,59.0
140,Down to You,2000,4.9,13,12900,49.0
141,Bless the Child,2000,5.1,17,12697,51.0
142,Ready to Rumble,2000,5.3,23,12304,53.0
143,Drowning Mona,2000,5.6,25,12180,56.0
144,Cecil B. DeMented,2000,6.2,57,11950,62.0
145,All the Pretty Horses,2000,5.8,55,11888,58.0
146,Italiensk for begyndere,2000,7.1,77,11786,71.0
147,Gangster No. 1,2000,6.8,60,11555,68.0
148,The Ladies Man,2000,5.1,22,11252,51.0
149,Animal Factory,2000,6.6,65,11120,66.0
150,Seom,2000,7.1,61,10918,71.0
151,Blood: The Last Vampire,2000,6.7,44,10711,67.0
152,Hanging Up,2000,4.8,33,10652,48.0
153,Anatomie,2000,6.1,33,10616,61.0
